Frame;TimeStamp;Value
865;34.580.472;-0.033
866;34.623.111;-0.033
867;34.666.225;-0.033
868;3.469.803;-0.033
869;34.741.322;-0.033
870;3.478.289;-0.033
871;34.826.307;-0.033
872;34.858.042;-0.033
873;34.900.555;-0.033
874;34.943.261;-0.035
875;34.986.351;-0.035
876;35.018.072;-0.035
877;35.061.522;-0.035
878;35.103.618;-0.035
879;35.146.556;-0.035
880;35.178.288;-0.035
881;35.220.753;-0.035
882;35.264.142;-0.035
883;35.306.074;-0.035
884;35.338.174;-0.035
885;35.380.609;-0.035
886;35.423.732;-0.035
887;3.546.605;-0.035
888;35.498.498;-0.035
889;35.540.715;-0.035
890;35.583.559;-0.035
891;35.626.397;-0.035
892;35.657.923;-0.035
893;35.700.363;-0.035
894;35.743.672;-0.035
895;35.786.191;-0.035
896;35.818.236;-0.035
897;35.861.566;-0.035
898;35.903.639;-0.035
899;35.946.328;-0.035
900;35.977.915;-0.035
901;3.602.097;-0.035
902;36.062.927;-0.035
903;36.106.138;-0.035
904;36.138.222;-0.035
905;36.180.986;-0.035
906;36.223.259;-0.035
907;36.265.595;-0.035
908;36.297.728;-0.035
909;36.340.962;-0.035
910;3.638.336;-0.035
911;36.426.164;-0.035
912;36.459.315;-0.035
913;36.501.511;-0.035
914;36.543.898;-0.035
915;36.586.081;-0.035
916;36.618.695;-0.035
917;36.660.392;-0.035
918;36.704.244;-0.035
919;36.745.882;-0.035
920;36.778.475;-0.035
921;36.821.111;-0.035
922;36.863.485;-0.037
923;36.905.646;-0.061
924;36.938.342;-0.072
925;36.980.674;-0.079
926;37.023.166;-0.082
927;37.065.708;-0.09
928;37.098.192;-0.093
929;37.141.046;-0.093
930;37.183.196;-0.095
931;37.225.583;-0.095
932;3.725.854;-0.097
933;37.300.206;-0.097
934;3.734.335;-0.097
935;37.385.916;-0.097
936;37.417.633;-0.097
937;3.746.369;-0.097
938;37.503.713;-0.097
939;37.547.065;-0.097
940;37.578.023;-0.097
941;37.620.865;-0.097
942;37.663.341;-0.097
943;37.705.616;-0.097
944;37.738.111;-0.097
945;37.780.248;-0.097
946;37.823.869;-0.097
947;37.866.308;-0.097
948;37.899.081;-0.097
949;37.940.367;-0.097
950;37.983.141;-0.097
951;38.025.977;-0.097
952;38.058.527;-0.097
953;38.100.932;-0.097
954;38.144.141;-0.097
955;38.185.718;-0.097
956;38.217.604;-0.097
957;38.260.548;-0.097
